,SessionId,ItemId,Timestamps
0,41,180,5452
1,11,114,19889
2,67,84,16034
3,15,111,14083
4,13,155,2597
5,195,66,6634
6,199,190,4361
7,95,0,12900
8,122,118,12444
9,3,115,14032
10,181,80,10814
11,93,34,8772
12,161,22,2155
13,114,133,17825
14,16,123,1762
15,185,36,17554
16,112,105,4591
17,175,0,10322
18,85,145,7463
19,111,166,9607
20,39,54,9947
21,130,176,9382
22,85,77,1741
23,36,42,7610
24,138,76,14744
25,127,119,16070
26,53,72,8158
27,182,99,3454
28,110,65,13751
29,25,162,19345
30,44,154,19113
31,174,125,18710
32,117,176,16136
33,84,112,14685
34,112,37,6544
35,54,150,12425
36,62,172,19659
37,158,168,12875
38,1,196,17703
39,140,85,6396
40,194,198,8791
41,59,141,19017
42,43,130,14825
43,148,60,7245
44,50,12,15170
45,157,184,5574
46,140,125,17680
47,17,48,2787
48,197,82,15982
49,193,31,16431
50,173,97,13022
51,187,80,14999
52,147,121,2534
53,87,145,12307
54,89,171,6826
55,177,130,10791
56,77,35,11343
57,184,185,3815
58,71,152,16098
59,2,171,13585
60,22,116,11649
61,154,63,4639
62,139,54,18897
63,160,84,7843
64,77,164,12660
65,63,2,5237
66,72,196,12935
67,160,42,8244
68,129,97,13554
69,25,112,8806
70,125,165,11856
71,102,96,879
72,95,162,10409
73,31,194,5973
74,128,100,6938
75,120,193,10702
76,134,124,10282
77,142,16,7218
78,148,18,7898
79,134,89,4980
80,81,141,667
81,194,60,520
82,175,110,11000
83,11,159,3853
84,197,163,11208
85,82,176,14171
86,66,186,10359
87,2,32,9010
88,171,40,8411
89,171,173,2531
90,152,121,8173
91,114,123,4
92,13,103,2488
93,31,91,98
94,12,190,5445
95,49,154,11883
96,177,129,16377
97,183,120,11006
98,86,131,12683
99,146,81,18815
100,1,67,11005
101,118,120,10356
102,15,45,8877
103,94,170,17866
104,8,4,6353
105,16,140,3860
106,117,6,10595
107,51,182,12519
108,126,98,11990
109,84,64,8784
110,155,19,6954
111,28,3,16387
112,123,192,7954
113,165,39,3054
114,198,198,5360
115,127,111,19263
116,131,1,8665
117,194,188,17403
118,12,6,13575
119,124,200,2601
120,113,175,2679
121,94,142,11880
122,125,199,2555
123,136,184,7865
124,0,144,12485
125,178,130,11856
126,111,185,9387
127,72,94,5947
128,159,1,15856
129,72,158,3558
130,148,29,11353
131,76,59,9313
132,117,44,2940
133,44,3,8106
134,82,144,18775
135,79,145,1995
136,48,172,14707
137,123,119,15770
138,131,130,12566
139,123,11,13698
140,101,167,6072
141,97,51,12754
142,43,20,17079
143,37,59,2611
144,69,195,11608
145,69,6,5484
146,158,115,7136
147,117,182,7083
148,65,162,14193
149,60,13,18724
150,49,134,7365
151,12,192,19673
152,159,28,2272
153,184,19,14670
154,44,33,11604
155,28,85,4688
156,67,157,18981
157,139,193,8780
158,141,52,6082
159,84,7,3089
160,41,15,1493
161,156,178,17416
162,132,129,2228
163,145,28,2670
164,20,166,7703
165,88,89,1199
166,139,144,1761
167,47,155,2938
168,110,120,12149
169,58,93,12977
170,151,167,1073
171,46,18,2518
172,137,17,10485
173,167,112,15552
174,81,22,11196
175,120,107,8596
176,116,11,7027
177,145,130,12051
178,71,116,11159
179,155,120,839
180,7,18,2765
181,144,19,16950
182,117,133,17942
183,140,192,14301
184,68,61,15339
185,189,46,19390
186,68,94,6724
187,54,136,15418
188,141,56,16966
189,124,42,11090
190,155,121,744
191,185,12,16057
192,146,26,9279
193,130,166,941
194,162,99,17023
195,73,152,6528
196,106,103,10919
197,33,119,11537
198,131,193,15812
199,97,0,16176
200,17,93,17598
201,191,24,6891
202,110,118,4489
203,101,158,17753
204,70,30,14581
205,7,78,15296
206,51,65,7034
207,192,87,19413
208,186,53,7651
209,1,56,2746
210,0,130,19778
211,108,89,6319
212,76,97,14207
213,156,50,15810
214,89,86,19243
215,19,38,7115
216,40,0,16784
217,2,11,19085
218,42,142,19032
219,144,182,10135
220,113,192,15295
221,189,158,6253
222,70,191,9403
223,128,53,13246
224,94,81,7576
225,60,142,19211
226,147,149,6718
227,98,91,10504
228,146,13,5712
229,140,64,2183
230,181,7,13293
231,161,26,16603
232,17,126,19156
233,156,179,5423
234,153,100,1747
235,84,151,17911
236,102,150,12007
237,1,150,6705
238,13,18,19944
239,87,127,3302
240,48,165,15617
241,105,77,9747
242,127,62,19049
243,93,87,879
244,9,185,8906
245,14,180,1539
246,62,11,1137
247,146,39,7521
248,174,128,2479
249,76,33,17225
250,109,40,17927
251,123,7,6547
252,162,186,1575
253,81,179,14384
254,162,145,17977
255,9,44,11084
256,73,14,10313
257,186,63,2025
258,15,190,18993
259,21,195,8633
260,71,78,19251
261,165,65,17988
262,137,49,15416
263,53,182,19145
264,38,36,18870
265,106,43,6752
266,129,200,14887
267,151,68,18638
268,74,101,14867
269,136,121,14939
270,102,98,1883
271,59,63,7783
272,74,16,6183
273,20,104,353
274,18,51,17897
275,9,60,6587
276,85,70,10775
277,124,180,5301
278,47,152,16454
279,158,139,11602
280,23,142,17194
281,111,185,14390
282,59,36,19203
283,83,135,19950
284,10,56,2649
285,133,23,4845
286,113,171,14857
287,164,102,4494
288,136,29,1845
289,114,156,9890
290,59,197,5611
291,152,56,18829
292,48,57,10791
293,99,100,18501
294,40,123,1854
295,145,140,14807
296,139,47,8874
297,83,93,18476
298,82,162,8716
299,167,69,14725
300,156,177,3810
301,178,103,4873
302,163,133,463
303,0,163,3179
304,139,51,4837
305,169,122,19206
306,73,194,3204
307,20,23,9418
308,26,83,7475
309,117,122,18271
310,57,143,10362
311,198,46,14685
312,77,31,11748
313,198,11,6268
314,117,11,11568
315,106,34,12284
316,150,109,7425
317,13,190,13591
318,72,61,4451
319,137,36,12411
320,127,126,7499
321,45,25,10277
322,102,67,12481
323,93,20,10596
324,175,140,1515
325,186,165,7485
326,162,20,3577
327,139,94,1921
328,165,105,3038
329,184,64,6602
330,158,198,17843
331,35,109,15047
332,163,178,15856
333,48,3,13110
334,35,63,10610
335,111,138,1416
336,112,12,14287
337,181,38,10449
338,184,9,16095
339,95,51,8211
340,114,68,671
341,94,16,10927
342,24,35,17971
343,110,134,5065
344,166,104,5027
345,44,124,13095
346,93,138,12803
347,64,89,18051
348,45,92,8565
349,40,98,4075
350,179,174,2075
351,97,46,14762
352,98,57,19248
353,24,42,3905
354,131,191,17964
355,133,91,8189
356,141,195,13817
357,182,50,15667
358,170,62,14024
359,165,92,444
360,129,188,4167
361,11,45,7484
362,163,109,6021
363,39,107,1268
364,145,156,16109
365,4,159,17083
366,190,105,14252
367,12,171,13711
368,22,122,6879
369,21,75,19805
370,106,63,18331
371,185,158,6217
372,116,114,2169
373,119,42,12243
374,53,162,19945
375,117,103,10873
376,173,39,18271
377,118,97,8249
378,59,89,15774
379,172,142,12719
380,166,14,14820
381,51,162,6599
382,154,30,1621
383,123,105,105
384,93,48,10735
385,25,85,13004
386,196,28,4277
387,174,196,24
388,57,137,92
389,134,13,12604
390,12,23,5646
391,67,79,15986
392,57,188,13654
393,84,99,14437
394,126,3,5901
395,57,28,3105
396,10,155,2692
397,133,136,1243
398,123,57,17420
399,11,69,10750
400,69,95,8658
401,174,186,6028
402,74,58,13272
403,158,138,2104
404,85,163,7729
405,27,79,15865
406,151,168,9753
407,175,190,2461
408,103,150,4713
409,14,54,10285
410,168,20,5507
411,186,92,18440
412,127,167,2619
413,19,155,13723
414,169,135,12870
415,129,88,9288
416,59,76,13313
417,141,75,10509
418,166,37,12643
419,98,80,5533
420,23,139,15769
421,168,44,15857
422,37,48,13240
423,105,176,19961
424,100,78,13405
425,200,16,11488
426,127,54,11589
427,71,70,15247
428,162,148,6780
429,200,76,10136
430,175,105,2820
431,91,172,6808
432,78,72,19643
433,22,177,11631
434,166,198,17359
435,195,105,14902
436,21,118,17432
437,47,107,14606
438,156,88,9044
439,128,81,9273
440,83,172,14162
441,175,60,10107
442,123,131,5434
443,28,190,14161
444,13,32,14554
445,56,36,310
446,162,135,18259
447,90,120,9618
448,95,77,6475
449,15,40,13332
450,19,16,10945
451,172,82,19057
452,190,183,11430
453,159,61,7536
454,188,2,14286
455,176,21,12966
456,39,191,8007
457,162,122,16913
458,162,5,10952
459,4,43,17566
460,96,126,7715
461,160,129,10775
462,24,121,8971
463,186,162,10647
464,69,119,4950
465,48,97,5015
466,42,80,17164
467,166,69,12312
468,54,100,2972
469,58,134,12881
470,60,168,11710
471,161,78,9818
472,25,94,7143
473,144,37,11146
474,70,80,9048
475,2,33,13303
476,153,77,17330
477,107,131,3299
478,86,188,8191
479,154,151,13600
480,177,109,1591
481,138,27,14326
482,163,59,11946
483,86,92,19280
484,64,89,17429
485,101,139,11465
486,131,194,17109
487,94,119,6041
488,177,57,14026
