,SessionId,ItemId,Timestamps
0,34,1858,15322
1,286,1510,12665
2,1877,452,1735
3,1118,576,18718
4,83,1532,7750
5,54,307,1054
6,729,1909,11563
7,1025,1170,14614
8,173,1545,3262
9,1213,212,5867
10,1585,793,6660
11,94,716,4991
12,1596,1138,4857
13,1345,1727,6075
14,1953,517,13605
15,430,916,15516
16,787,1842,4346
17,1913,77,19680
18,1219,1669,7906
19,601,1274,733
20,1356,828,11691
21,797,1584,13434
22,1775,1407,10079
23,822,1276,4188
24,1682,329,11657
25,1126,1113,14466
26,980,803,2068
27,1076,670,2597
28,1749,877,10083
29,1448,355,10961
30,977,1622,4352
31,1717,475,6423
32,51,1449,4111
33,1993,373,15407
34,1880,761,1002
35,1575,1833,15597
36,602,320,1148
37,631,1215,8990
38,246,139,12893
39,961,47,12793
40,844,14,4672
41,1303,170,10497
42,1440,490,17730
43,155,1020,10180
44,1388,1462,12754
45,695,461,12639
46,666,541,619
47,601,572,6476
48,432,1940,453
49,1779,1621,1929
50,256,656,18086
51,1318,1819,6151
52,1253,1196,14683
53,1236,444,3973
54,1084,1582,14088
55,649,1007,15746
56,1517,122,4448
57,1154,222,6960
58,24,1886,13207
59,1430,853,2162
60,1569,1767,6637
61,828,292,19250
62,1999,1625,15348
63,1993,1879,13268
64,1733,819,797
65,497,468,15166
66,1199,1552,13212
67,834,1164,1156
68,1743,1685,3278
69,1257,871,8550
70,1676,621,1045
71,636,1949,13997
72,1266,1412,12623
73,1574,1244,1094
74,1145,368,14752
75,1727,625,10353
76,621,1631,19365
77,1006,922,738
78,385,1666,10035
79,1032,694,12680
80,248,857,18916
81,209,1380,12894
82,989,1018,16064
83,346,74,12562
84,835,247,2410
85,648,115,2809
86,1218,226,9160
87,178,447,3312
88,1060,854,12586
89,1040,844,14735
90,249,675,1381
91,1697,1374,13097
92,1423,1842,1656
93,1731,1842,15444
94,22,828,5304
95,704,901,384
96,1163,392,8145
97,1184,818,16704
98,398,1123,8305
99,67,1889,13388
100,236,360,11287
101,442,330,8622
102,1042,1079,4652
