SHOP_ID,DATE,HOUR,Num_raw,Num_post,DofW
1,2016-06-23,20,1,1.0,3
1,2016-07-15,13,1,1.0,4
1,2016-08-03,14,1,1.0,2
1,2016-08-19,23,1,1.0,4
1,2016-08-25,19,1,1.0,3
1,2016-08-27,10,1,1.0,5
1,2016-09-01,9,1,1.0,3
1,2016-09-01,10,1,1.0,3
1,2016-09-04,3,1,1.0,6
1,2016-09-09,14,1,1.0,4
1,2016-09-13,17,1,1.0,1
1,2016-09-14,14,1,1.0,2
1,2016-09-18,11,1,1.0,6
1,2016-09-30,15,1,1.0,4
1,2016-10-01,11,1,1.0,5
1,2016-10-31,15,1,1.0,0
2,2016-06-23,21,1,1.0,3
2,2016-06-24,7,1,1.0,4
2,2016-06-24,11,1,1.0,4
2,2016-06-25,11,1,1.0,5
2,2016-06-25,12,1,1.0,5
2,2016-06-27,0,1,1.0,0
2,2016-06-30,13,1,1.0,3
2,2016-07-05,11,1,1.0,1
2,2016-07-11,18,1,1.0,0
2,2016-08-10,9,1,1.0,2
2,2016-08-19,16,1,1.0,4
2,2016-08-22,9,1,1.0,0
2,2016-08-23,15,1,1.0,1
2,2016-10-01,14,1,1.0,5
2,2016-10-12,11,1,1.0,2
3,2016-07-20,20,1,1.0,2
4,2016-08-08,13,1,1.0,0
4,2016-08-08,14,1,1.0,0
4,2016-08-08,21,1,1.0,0
4,2016-08-08,22,1,1.0,0
4,2016-08-24,12,1,1.0,2
4,2016-08-29,2,1,1.0,0
4,2016-09-02,19,1,1.0,4
4,2016-09-30,14,1,1.0,4
4,2016-10-05,21,1,1.0,2
4,2016-10-06,20,1,1.0,3
4,2016-10-16,19,1,1.0,6
5,2016-10-25,7,1,1.0,1
6,2016-08-24,14,1,1.0,2
7,2016-07-01,21,1,1.0,4
7,2016-07-04,19,1,1.0,0
7,2016-07-06,14,1,1.0,2
7,2016-07-12,17,1,1.0,1
7,2016-07-16,11,1,1.0,5
7,2016-08-09,13,1,1.0,1
7,2016-08-15,20,1,1.0,0
7,2016-10-02,9,1,1.0,6
7,2016-10-15,18,1,1.0,5
9,2016-07-19,16,1,1.0,1
9,2016-08-08,12,1,1.0,0
9,2016-08-12,15,1,1.0,4
9,2016-08-15,19,1,1.0,0
11,2016-08-28,1,1,1.0,6
12,2016-08-01,10,1,1.0,0
12,2016-09-14,19,1,1.0,2
12,2016-09-15,12,1,1.0,3
12,2016-10-11,16,1,1.0,1
12,2016-10-23,18,1,1.0,6
13,2016-09-25,16,1,1.0,6
14,2016-07-21,12,1,1.0,3
14,2016-09-06,7,1,1.0,1
14,2016-09-19,8,1,1.0,0
15,2016-08-11,16,1,1.0,3
16,2016-06-24,13,1,1.0,4
16,2016-09-12,18,1,1.0,0
16,2016-10-13,13,1,1.0,3
17,2016-07-07,6,1,1.0,3
17,2016-08-13,14,1,1.0,5
17,2016-08-14,6,1,1.0,6
17,2016-08-29,17,1,1.0,0
17,2016-09-11,14,1,1.0,6
17,2016-09-15,15,1,1.0,3
17,2016-10-13,2,1,1.0,3
17,2016-10-30,18,1,1.0,6
18,2016-08-18,10,1,1.0,3
19,2016-07-19,17,1,1.0,1
19,2016-08-05,15,1,1.0,4
19,2016-09-22,22,1,1.0,3
20,2016-10-06,18,1,1.0,3
20,2016-10-11,10,1,1.0,1
20,2016-10-29,11,1,1.0,5
22,2016-06-23,15,1,1.0,3
22,2016-06-28,11,1,1.0,1
22,2016-07-01,18,1,1.0,4
22,2016-07-11,19,1,1.0,0
22,2016-08-20,19,1,1.0,5
22,2016-10-17,15,1,1.0,0
22,2016-10-17,19,1,1.0,0
22,2016-10-19,14,1,1.0,2
22,2016-10-23,21,1,1.0,6
24,2016-06-22,20,1,1.0,2
24,2016-07-02,12,1,1.0,5
24,2016-08-26,16,1,1.0,4
24,2016-10-08,14,1,1.0,5
24,2016-10-24,15,1,1.0,0
24,2016-10-27,16,1,1.0,3
25,2016-07-11,16,1,1.0,0
25,2016-07-17,17,1,1.0,6
25,2016-08-09,12,1,1.0,1
25,2016-08-11,14,1,1.0,3
25,2016-08-12,13,1,1.0,4
25,2016-08-12,18,1,1.0,4
25,2016-08-13,9,1,1.0,5
25,2016-10-03,13,1,1.0,0
25,2016-10-08,12,1,1.0,5
25,2016-10-28,22,1,1.0,4
26,2016-07-29,19,1,1.0,4
26,2016-08-03,17,1,1.0,2
26,2016-10-11,18,1,1.0,1
28,2016-06-23,8,1,1.0,3
28,2016-06-27,22,1,1.0,0
28,2016-06-29,23,1,1.0,2
28,2016-07-07,7,1,1.0,3
28,2016-07-12,18,1,1.0,1
28,2016-07-14,20,1,1.0,3
28,2016-08-10,16,1,1.0,2
28,2016-08-11,18,1,1.0,3
28,2016-08-24,4,1,1.0,2
28,2016-09-28,18,1,1.0,2
30,2016-06-24,23,1,1.0,4
30,2016-07-04,22,1,1.0,0
30,2016-07-12,3,1,1.0,1
30,2016-07-16,14,1,1.0,5
30,2016-07-18,18,1,1.0,0
30,2016-07-18,22,1,1.0,0
30,2016-07-20,9,1,1.0,2
30,2016-07-26,14,1,1.0,1
30,2016-07-29,22,1,1.0,4
30,2016-07-31,11,1,1.0,6
30,2016-08-05,23,1,1.0,4
30,2016-08-10,11,1,1.0,2
30,2016-08-15,13,1,1.0,0
30,2016-08-17,8,1,1.0,2
30,2016-08-18,22,1,1.0,3
30,2016-08-30,0,1,1.0,1
30,2016-08-31,20,1,1.0,2
30,2016-09-22,16,1,1.0,3
30,2016-10-07,21,1,1.0,4
30,2016-10-09,1,1,1.0,6
31,2016-08-01,11,1,1.0,0
31,2016-08-04,17,1,1.0,3
31,2016-08-17,18,1,1.0,2
31,2016-10-07,16,1,1.0,4
34,2016-07-16,23,1,1.0,5
34,2016-08-20,13,1,1.0,5
35,2016-06-28,8,1,1.0,1
35,2016-07-15,5,1,1.0,4
35,2016-08-01,13,1,1.0,0
35,2016-08-26,23,1,1.0,4
36,2016-08-27,9,2,2.0,5
36,2016-08-27,14,2,2.0,5
37,2016-07-13,16,1,1.0,2
37,2016-08-04,20,1,1.0,3
37,2016-08-05,16,1,1.0,4
37,2016-08-06,17,1,1.0,5
37,2016-08-09,9,1,1.0,1
37,2016-08-18,6,1,1.0,3
37,2016-08-19,17,1,1.0,4
37,2016-08-31,20,1,1.0,2
37,2016-09-06,16,1,1.0,1
39,2016-07-04,20,1,1.0,0
39,2016-07-04,21,1,1.0,0
39,2016-07-10,18,1,1.0,6
39,2016-07-30,11,1,1.0,5
39,2016-08-06,20,1,1.0,5
39,2016-08-22,17,1,1.0,0
39,2016-09-24,16,1,1.0,5
39,2016-10-18,12,1,1.0,1
39,2016-10-22,19,1,1.0,5
41,2016-06-27,0,1,1.0,0
41,2016-06-28,11,1,1.0,1
41,2016-07-10,13,1,1.0,6
41,2016-07-28,17,1,1.0,3
41,2016-08-02,19,1,1.0,1
41,2016-08-03,3,1,1.0,2
41,2016-08-03,15,1,1.0,2
41,2016-08-05,6,1,1.0,4
41,2016-08-05,14,1,1.0,4
41,2016-08-07,23,1,1.0,6
41,2016-08-08,19,1,1.0,0
